sx_pg,sy_pg,sx_pgas,sy_pgas
0,0,0,0
3.72075,3.02812,3.74006,3.38718
3.24002,3.00247,3.50077,3.50874
3.21282,2.99658,3.31793,3.57153
3.5559,2.986,3.14265,3.52393
3.33105,2.96664,2.95351,3.38009
3.00986,2.99903,3.15952,3.42157
3.30232,2.99678,3.10572,3.36753
3.18787,3.02916,3.43043,3.39991
3.21852,3.03068,3.30861,3.43327
2.98492,3.11126,3.25385,3.32002
3.20858,3.07796,3.42494,3.15772
3.19454,3.07702,2.97304,3.23014
3.39099,3.08246,3.18938,3.12871
3.44924,2.96285,3.4101,3.20957
3.04275,3.02664,3.39074,3.07782
2.97374,3.10316,3.37179,3.21061
3.20834,3.06842,3.43025,3.3028
3.05242,3.06448,3.50508,3.26427
2.98466,3.04778,3.72393,3.12929
3.38186,3.01466,3.57627,3.32061
3.51529,3.04156,4.04784,3.2689
3.30814,3.05338,3.65025,3.34901
3.38182,3.02045,3.33578,3.3898
3.25099,3.0191,3.81548,3.17799
3.23703,3.03508,3.29743,3.23429
2.99094,3.10303,3.51202,3.40684
3.8902,3.01783,3.51197,3.47436
3.39032,3.07517,3.26782,3.51201
3.00771,3.10759,3.36762,3.53226
3.16097,3.06256,3.6585,3.39179
3.29482,3.06838,3.72265,3.37812
3.23326,3.11378,3.30586,3.37419
3.07551,3.0317,3.06368,3.47888
3.33176,3.03805,2.67262,3.21057
3.51164,3.03223,2.76521,3.21623
3.34319,3.04337,2.7836,3.3296
3.01042,3.07183,2.90041,3.44026
2.97326,3.11454,2.91192,3.23502
3.39588,3.07806,3.25427,2.99834
3.53535,3.09092,2.93861,3.08843
3.53535,3.09092,3.06216,3.4243
3.20494,3.08658,3.32988,3.30297
3.31477,3.07092,3.31496,3.39538
3.46663,3.11644,3.24592,3.29433
3.15115,3.04518,3.37839,3.49078
3.47682,3.06254,3.60123,3.43566
3.10969,3.12703,3.46497,3.32542
3.69841,3.13692,3.52057,3.32435
3.5978,3.06386,3.7969,3.22174
3.61856,3.16256,3.73527,2.94356
3.40182,3.1266,3.28083,3.02681
3.58144,3.04237,3.05457,3.11983
3.97674,3.037,3.18654,3.13207
4.09462,2.93785,3.32689,3.13264
4.23804,2.93881,3.2059,3.18654
4.23804,2.93881,3.38461,3.27605
3.92033,3.01204,3.55261,3.35405
3.89718,2.94418,3.2405,3.23612
4.08006,2.94329,2.84616,3.16689
4.06993,2.96311,2.8129,3.10797
3.71419,2.94949,2.94455,3.26629
3.82576,2.94205,3.03402,3.31183
3.64587,3.00396,3.08809,3.04818
4.06767,3.00018,2.91875,3.20541
4.11036,3.01878,2.93071,3.20971
3.96036,2.96605,2.84737,3.15742
3.75609,2.99232,3.23573,3.33695
3.92795,3.04883,2.82192,3.36284
3.66632,3.03867,3.21289,3.3387
3.74721,3.00512,3.07938,3.37027
3.43038,3.09897,3.00798,3.25543
3.54436,3.04009,3.02232,3.26177
3.70574,3.06663,3.22235,3.4112
3.89468,3.06297,3.03055,3.21244
3.85108,3.01009,2.99937,3.36125
3.70757,2.89028,3.29042,3.23751
3.89735,2.85858,3.4015,3.23012
3.65292,2.83995,3.66168,3.27433
3.72635,3.03419,3.61624,3.18817
3.85168,2.95228,3.75161,3.30265
3.59535,2.93653,3.48397,3.37522
3.57894,3.00682,3.66726,3.31721
3.96407,2.96203,3.49891,3.50333
3.78998,2.91237,3.40535,3.335
3.78415,3.13197,3.56659,3.45076
3.72324,3.10489,3.3862,3.52989
3.98329,3.10181,3.40889,3.25142
3.37875,3.01809,3.56901,3.31017
3.37875,3.01809,3.34787,3.27679
3.61065,3.0715,3.26471,3.21609
3.76342,3.05264,3.09339,2.97394
3.44443,3.06047,2.85306,3.08082
3.3454,3.10093,3.28559,3.06705
3.71367,3.06359,3.1808,3.03015
3.32905,3.10871,3.20719,3.14424
3.55833,3.15972,3.70459,3.06361
3.48602,3.16451,3.35299,3.14772
3.55776,3.15048,3.31898,3.02254
4.04284,3.16482,3.5915,3.1155
3.96661,3.12218,3.57365,3.0455
3.71937,3.28256,3.45479,3.17569
3.35793,3.21202,3.27888,2.95443
3.42721,3.23813,3.08309,3.22684
3.39842,3.26849,3.52722,3.22469
3.52865,3.24315,3.06069,3.34161
3.7352,3.24536,3.23154,3.27476
3.4382,3.32106,3.51476,3.22451
3.44648,3.3181,3.27684,3.21875
3.21906,3.27931,3.08104,3.31029
3.72689,3.29451,3.39613,3.18602
3.37791,3.33522,3.63084,3.19174
3.34561,3.38498,3.59098,3.08284
3.30091,3.30654,3.31547,3.09205
3.54128,3.30878,3.96161,3.22452
3.56085,3.50115,3.38058,3.07666
3.85906,3.50528,3.2251,3.06404
3.9245,3.50379,3.11696,3.32152
3.80962,3.50782,3.19807,3.32641
3.76966,3.478,3.53379,3.18953
3.59254,3.49904,3.08868,3.21515
3.7223,3.37304,2.94976,3.12865
3.7059,3.33312,2.87694,3.2599
3.07469,3.34046,3.24462,3.36991
3.05075,3.25453,3.26262,3.293
3.00658,3.383,3.46952,3.40312
2.99344,3.38737,3.4639,3.26733
4.00794,3.4089,3.22201,3.19599
3.18359,3.36202,3.66441,3.01386
2.97188,3.36883,4.31843,3.1353
3.15285,3.36515,4.08545,3.04604
3.6788,3.39842,3.46014,3.00907
3.10797,3.47783,3.97055,2.91438
2.91018,3.39447,3.63323,3.07519
2.86347,3.39476,3.47646,3.19244
2.8226,3.42017,3.3048,3.31438
3.24123,3.43266,3.20938,3.3075
3.12346,3.49076,3.74681,3.21702
2.96302,3.46374,3.18129,3.18787
3.1444,3.51266,3.1537,3.14214
3.1619,3.43696,3.07783,3.24486
3.05853,3.45919,3.07253,3.34082
3.03645,3.44487,3.11405,3.4206
2.89878,3.47082,3.32153,3.34021
3.15447,3.59923,3.1109,3.54689
2.96423,3.47187,3.05388,3.4481
3.34644,3.47311,3.53852,3.73335
3.26244,3.50074,3.47311,3.33254
3.06719,3.48518,3.63252,3.35027
3.18699,3.42864,3.31335,3.45523
3.0795,3.40809,3.36302,3.46417
3.1592,3.42345,3.26775,3.44447
3.0302,3.3965,3.37834,3.20404
3.19742,3.3974,3.14158,3.23891
3.16321,3.49727,3.28219,3.1684
3.68004,3.56093,3.54701,3.00771
3.148,3.44566,3.50512,3.00633
3.37753,3.43075,3.69046,3.15166
3.27213,3.38959,3.6839,3.19677
3.64805,3.4268,3.85606,3.18392
3.40058,3.40708,3.77545,3.18829
3.12507,3.48999,3.64474,3.10098
3.15284,3.50919,3.68624,3.26671
3.3418,3.42038,3.68171,3.48458
3.19623,3.36894,3.70049,3.30368
3.06592,3.32338,3.72227,3.19544
3.67841,3.32075,3.64578,3.11908
3.1298,3.33346,3.5095,3.41308
3.17771,3.3247,3.49863,3.27552
3.42909,3.4282,3.39929,3.34666
3.42909,3.4282,3.11119,3.28925
3.46167,3.43426,3.58877,3.19496
3.26035,3.51698,3.41142,3.24446
3.26279,3.38288,3.49673,3.14385
3.17813,3.3826,3.36704,3.31311
3.1819,3.35708,3.68854,3.19431
3.08058,3.35244,3.72937,3.27317
3.23432,3.3438,3.64756,3.21776
2.97997,3.4224,3.4946,3.21599
3.16882,3.43622,3.66147,3.26455
3.17858,3.42529,3.46209,3.01791
3.13138,3.39118,3.52649,3.12069
3.28268,3.37157,3.12531,3.3709
3.266,3.45123,3.16716,3.39909
3.03194,3.394,3.67473,3.41417
3.33742,3.40043,3.55902,3.41992
3.36756,3.34617,3.35512,3.31829
3.13632,3.31453,3.43341,3.43084
3.4018,3.3485,3.6029,3.23934
3.38914,3.32288,3.54008,3.09144
3.02767,3.04095,3.25564,3.27952
3.23372,3.21037,3.36499,3.08631
3.47662,3.25552,3.24267,3.3081
3.40176,3.24152,3.49076,3.29474
3.39464,3.309,3.3862,3.07136
3.64394,3.25777,3.53457,3.11981
3.59968,3.22933,3.52728,3.23385
3.55927,3.31577,3.63412,3.18076
3.5258,3.25847,3.67848,3.1425
3.36483,3.2695,3.91141,3.28901
3.75677,3.23086,3.37252,3.22977
3.85915,3.25239,3.64462,3.10639
3.68127,3.28471,3.78459,3.22378
3.09678,3.22148,3.37944,3.25212
3.25495,3.16379,3.80914,3.21469
3.25495,3.16379,3.66508,3.13665
3.00763,3.16758,3.1445,3.04026
3.18462,3.19633,3.71005,3.18826
2.97081,3.2006,3.70526,3.09873
3.49344,3.22925,3.55795,3.24089
3.2391,3.19292,3.58258,3.38944
2.99897,3.23879,3.39753,3.29111
3.42355,3.21381,3.2837,3.32736
3.58803,3.2232,3.26606,3.28409
3.53795,3.18139,3.09838,3.43735
3.2932,3.32552,3.87303,3.43635
3.28745,3.33283,3.67616,3.37495
3.16764,3.34568,3.06681,3.24014
3.41518,3.36879,2.94236,3.21873
3.05561,3.30228,3.25657,3.23891
2.98585,3.34264,3.45959,3.20183
3.24976,3.26317,3.65671,3.30834
3.24976,3.26317,3.43141,3.36572
3.46327,3.21721,3.17563,3.18422
3.32935,3.31543,3.19578,3.28291
3.13313,3.23236,3.35857,3.28841
3.30054,3.20427,3.46771,3.29453
3.43622,3.27535,3.21932,3.39032
3.15223,3.2756,3.24231,3.69471
2.99199,3.31342,3.89724,3.42565
3.20345,3.25943,3.73474,3.37122
3.05389,3.30131,3.75537,3.45753
3.28685,3.36349,3.52637,3.28245
3.47575,3.31078,3.36929,3.05827
3.38789,3.35099,3.3822,3.11741
3.51113,3.6055,3.43126,3.28794
3.55866,3.48786,3.43485,3.30848
3.193,3.52416,3.33279,3.22936
3.33658,3.51444,3.01313,3.22683
3.26471,3.52742,3.24205,3.21128
3.40232,3.56156,3.3985,3.31451
3.71742,3.54867,3.31261,3.24838
3.3826,3.58461,3.26325,3.48201
3.41297,3.52129,3.47716,3.31949
3.4032,3.50718,3.52095,3.09288
3.56831,3.44969,3.68204,3.0994
3.63211,3.46938,3.38648,3.1891
3.59971,3.43471,3.70189,3.10117
3.64298,3.48644,3.56582,3.22509
3.42197,3.40191,3.34782,3.40885
3.74779,3.49192,3.25882,3.14413
3.52534,3.45798,3.54404,3.20929
3.61252,3.38309,3.20599,3.21164
